Date,Close,High,Low,Open,Volume
2022-11-18,58181.375,58746.24272,57804.79652,58181.375,12236503
2022-11-21,57804.80469,58181.38322,57239.93689,57804.80469,9378097
2022-11-22,57051.64453,57616.5123,56769.21065,57334.07842,9411289
2022-11-23,57428.21875,57710.65261,57145.78489,57616.50799,8765050
2022-11-24,57804.80469,58087.23859,57334.08152,57616.51542,8125010
2022-11-25,57428.21875,58087.2311,57239.92951,57804.79723,6677933
2022-11-28,56580.92578,56957.50432,56298.49188,56957.50432,8589032
2022-11-29,57051.64453,57051.64453,56298.48751,56392.63214,7014160
2022-11-30,58557.96484,58557.96484,56675.07208,56863.36136,19768903
2022-12-01,58934.53906,59499.40685,58652.10517,59405.26222,16631445
2022-12-02,56863.35547,58840.39266,56863.35547,58840.39266,15331184
2022-12-05,56769.21094,57522.36796,56486.77705,57334.07871,13767787
2022-12-06,55733.61719,56580.9188,55733.61719,56298.48493,13888300
2022-12-07,55451.18359,56110.19596,55074.6051,55357.03897,12100662
2022-12-08,55733.61719,55733.61719,55168.74945,55262.89407,12986815
2022-12-09,56863.35547,57051.64473,55827.76456,55827.76456,10529632
2022-12-12,56016.05469,56486.77784,55921.91006,56392.63321,9036472
2022-12-13,56204.35156,56769.21942,55921.91764,56110.20692,9040873
2022-12-14,56957.50391,57051.64854,56298.49146,56298.49146,8207485
2022-12-15,55827.76563,56675.0673,55827.76563,56298.48878,8716039
2022-12-16,56016.05469,56016.05469,54886.31913,54886.31913,13033596
2022-12-19,56016.05469,56392.63321,55639.47617,56016.05469,7696187
2022-12-20,55168.75781,55639.481,55074.61317,55545.33636,9284761
2022-12-21,54603.88281,55639.47369,54603.88281,55262.89519,10356971
2022-12-22,55639.47656,55639.47656,54698.03026,54698.03026,10720630
2022-12-23,54698.02734,54980.46122,54321.44884,54792.17197,9829407
2022-12-26,54509.73828,54698.02753,54321.44903,54603.88291,6756411
2022-12-27,54698.02734,54980.46122,54509.73809,54603.88272,10667027
2022-12-28,53619.01953,54566.35203,53429.55303,54566.35203,14665410
2022-12-29,52387.48828,53240.08755,52387.48828,53050.62104,11295935
2023-01-02,52576.95313,53145.35262,52292.75338,52576.95313,10031448
2023-01-03,52482.21875,53050.61823,51629.61953,52482.21875,13547030
2023-01-04,54755.8125,54945.27898,52671.68123,52766.41447,20188071
2023-01-05,55134.75,55703.14948,54566.35052,55134.75,15682826
2023-01-06,55892.62109,56271.55412,54850.55528,55229.4883,17334989
2023-01-09,57503.07422,57503.07422,56461.00862,56555.74186,18640107
2023-01-10,57218.88281,57882.01556,56745.21656,57029.41631,14859797
2023-01-11,57313.61719,57976.74995,57124.15068,57787.28345,12310751
2023-01-12,57313.61719,57976.74995,56745.21768,57882.0167,16102561
2023-01-13,57597.82031,57976.75334,57218.88728,57313.62054,12510328
2023-01-16,57882.01563,58355.68187,57597.81588,58071.48212,10039972
2023-01-17,57787.28125,58260.94749,57408.34826,57976.74775,9831456
2023-01-18,57218.88281,57787.28231,56745.21656,57503.08256,11584041
2023-01-19,58260.94531,58260.94531,57218.87962,57313.61287,12808490
2023-01-20,58545.14453,59018.81075,57882.01183,58829.34426,9646327
2023-01-25,59966.14844,60345.08145,59681.94868,60155.61494,39217
2023-01-26,60439.8125,60534.54575,59966.14626,60439.8125,54188
2023-01-27,61197.67969,61576.61269,60534.54694,61008.21319,44282
2023-01-30,59966.14844,61481.88047,59776.68193,61481.88047,59628
2023-01-31,58166.21094,60345.07552,57787.27797,60155.60903,163847
2023-02-01,57787.28125,59397.74647,57787.28125,59303.01322,98585
2023-02-02,60155.60938,60534.54235,59303.01019,59871.40965,65992
2023-02-03,60155.60938,60629.27559,59681.94316,60534.54235,47567
2023-02-06,58355.67578,59681.94114,58355.67578,59492.47466,144104
2023-02-07,58734.60547,59208.27164,58355.67253,58639.87223,32873
2023-02-08,59776.67578,59966.14227,59113.54309,59492.47605,42558
2023-02-09,59966.14844,59966.14844,59018.81592,59681.94868,48035
2023-02-10,59587.21094,59681.94418,59113.54471,59303.0112,44786
2023-02-13,59587.21094,59681.94418,59018.81147,59587.21094,59395
2023-02-14,59871.41016,60534.54286,59871.41016,60250.34313,70606
2023-02-15,58924.08203,60534.5473,58734.61553,60534.5473,58370
2023-02-16,60345.08203,60345.08203,59113.54974,59208.283,41448
2023-02-17,59303.01563,59966.14839,59113.54912,59587.21538,28613
2023-02-20,59397.73828,59681.93799,58545.13917,59587.20475,29846
2023-02-21,58829.34766,59492.4804,58734.61441,59397.74715,60971
2023-02-22,57882.01563,58545.14837,57787.28238,58260.94862,39178
2023-02-23,58734.60547,59208.27164,58260.9393,58450.40576,37145
2023-02-24,58071.48047,59303.01268,58071.48047,59018.81294,50792
2023-02-27,57313.61719,57597.81694,57029.41743,57597.81694,11155697
2023-02-28,57408.34766,58166.21363,57313.61441,57597.81415,13715861
2023-03-02,57597.82031,58545.15288,57313.62054,57692.55357,13095682
2023-03-03,57313.61719,57976.74995,57313.61719,57787.28345,10711405
2023-03-06,58260.94531,58355.67856,57597.8126,57882.01233,13630602
2023-03-07,57503.07422,58166.20687,57503.07422,58166.20687,11473280
2023-03-08,57124.14844,57313.61493,56745.21545,56934.68194,14161857
2023-03-09,56934.68359,57597.81635,56745.21709,57313.6166,14334499
2023-03-10,56366.28516,56555.75166,55987.35215,56366.28516,11902471
2023-03-13,56839.95313,57029.41964,56176.82034,56745.21987,12779724
2023-03-14,55892.62109,56366.28737,55892.62109,56271.55412,12147346
2023-03-15,56650.48438,57124.15063,56461.01787,56839.95088,10482149
2023-03-16,56745.21094,57029.41066,55987.34502,56082.07826,10611939
2023-03-17,58071.48047,58071.48047,57408.34774,57597.81423,14090110
2023-03-20,57029.41016,57976.74255,57029.41016,57882.00931,9618009
2023-03-21,57124.14844,57503.08143,56934.68194,57313.61493,8318514
2023-03-22,57882.01563,57976.74887,57313.61613,57787.28238,8978591
2023-03-23,59018.8125,59018.8125,57408.34731,57408.34731,15381057
2023-03-24,59681.94531,59966.14505,59018.81259,59397.74557,18278602
2023-03-27,58829.34766,59492.4804,58734.61441,59303.0139,11039331
2023-03-28,59587.21094,59587.21094,58829.34498,59113.54471,11614118
2023-03-29,59397.73828,59397.73828,58924.07211,59208.27181,11216008
2023-03-30,60218.12109,60694.53028,60122.83926,60694.53028,15684377
2023-03-31,60980.375,60980.375,60694.52949,60980.375,14094479
2023-04-03,60122.83594,60980.37242,60027.55411,60980.37242,11973133
2023-04-04,60599.25,60789.81368,59836.99528,60408.68632,11120514
2023-04-05,60885.09375,60980.37559,60408.68457,60694.53008,9176149
2023-04-06,59360.58984,60599.25384,59360.58984,60503.97199,14992747
2023-04-07,61933.19141,62123.75507,60789.80941,60789.80941,27476120
2023-04-10,62600.16406,63171.85506,61647.34574,61742.62757,18777166
2023-04-11,62790.73047,63076.57598,62314.32128,63076.57598,16323183
2023-04-12,62886.01563,63076.57931,62219.04273,62695.45194,15021313
2023-04-13,62981.29688,62981.29688,62314.32399,62504.88767,15091022
2023-04-14,62028.47656,63457.70413,61933.19472,63457.70413,16176490
2023-04-17,62219.04297,62504.8885,61647.35192,61933.19744,13486618
2023-04-18,62504.88672,62886.01408,61742.632,62790.73224,14802060
2023-04-19,62409.59766,62695.44314,62219.034,62409.59766,10255985
2023-04-20,62219.04297,62219.04297,61552.07007,62028.47928,9501169
2023-04-21,62600.16406,62790.72773,62314.31856,62695.4459,10538622
2023-04-24,62123.76563,62600.17487,61742.63823,62219.04747,12986581
2023-04-25,60599.25,62314.32311,60408.68632,62219.04127,16193271
2023-04-26,61075.66016,61266.22384,60313.40543,60599.25095,12664541
